;09 Июнь 2013 г.;67,16;6,716;1067,16;;
;10 Июнь 2013 г.;67,85;6,785;1067,85;;
;11 Июнь 2013 г.;68,55;6,855;1068,55;;
;12 Июнь 2013 г.;69,24;6,924;1069,24;;
;13 Июнь 2013 г.;69,94;6,994;1069,94;;
;14 Июнь 2013 г.;70,63;7,063;1070,63;;
;15 Июнь 2013 г.;71,33;7,133;1071,33;;
;16 Июнь 2013 г.;72,03;7,203;1072,03;;
;17 Июнь 2013 г.;72,72;7,272;1072,72;;
;18 Июнь 2013 г.;73,42;7,342;1073,42;;
;19 Июнь 2013 г.;74,12;7,412;1074,12;;
;20 Июнь 2013 г.;74,82;7,482;1074,82;;
;21 Июнь 2013 г.;75,52;7,552;1075,52;;
;22 Июнь 2013 г.;76,21;7,621;1076,21;;
;23 Июнь 2013 г.;76,91;7,691;1076,91;;
;24 Июнь 2013 г.;77,61;7,761;1077,61;;
;25 Июнь 2013 г.;78,32;7,832;1078,32;;
;26 Июнь 2013 г.;79,02;7,902;1079,02;;
;27 Июнь 2013 г.;79,72;7,972;1079,72;;
;28 Июнь 2013 г.;80,42;8,042;1080,42;;
;29 Июнь 2013 г.;81,12;8,112;1081,12;;
;30 Июнь 2013 г.;81,83;8,183;1081,83;;
;01 Июль 2013 г.;82,53;8,253;1082,53;;
;02 Июль 2013 г.;83,23;8,323;1083,23;;
;03 Июль 2013 г.;83,94;8,394;1083,94;;
;04 Июль 2013 г.;84,64;8,464;1084,64;;
;05 Июль 2013 г.;85,35;8,535;1085,35;;
;06 Июль 2013 г.;86,05;8,605;1086,05;;
;07 Июль 2013 г.;86,76;8,676;1086,76;;
;08 Июль 2013 г.;87,47;8,747;1087,47;;
;09 Июль 2013 г.;88,17;8,817;1088,17;;
;10 Июль 2013 г.;88,88;8,888;1088,88;;
;11 Июль 2013 г.;89,59;8,959;1089,59;;
;12 Июль 2013 г.;90,30;9,030;1090,30;;
;13 Июль 2013 г.;91,01;9,101;1091,01;;
;14 Июль 2013 г.;91,72;9,172;1091,72;;
;15 Июль 2013 г.;92,42;9,242;1092,42;;
;16 Июль 2013 г.;93,14;9,314;1093,14;;
;17 Июль 2013 г.;93,85;9,385;1093,85;;
;18 Июль 2013 г.;94,56;9,456;1094,56;;
;19 Июль 2013 г.;95,27;9,527;1095,27;;
;20 Июль 2013 г.;95,98;9,598;1095,98;;
;21 Июль 2013 г.;96,69;9,669;1096,69;;
;22 Июль 2013 г.;97,41;9,741;1097,41;;
;23 Июль 2013 г.;98,12;9,812;1098,12;;
;24 Июль 2013 г.;98,83;9,883;1098,83;;
;25 Июль 2013 г.;99,55;9,955;1099,55;;
;26 Июль 2013 г.;100,26;10,026;1100,26;;
;27 Июль 2013 г.;100,98;10,098;1100,98;;
;28 Июль 2013 г.;101,70;10,170;1101,70;;
;29 Июль 2013 г.;102,41;10,241;1102,41;;
;30 Июль 2013 г.;103,13;10,313;1103,13;;
;31 Июль 2013 г.;103,85;10,385;1103,85;;
;01 Август 2013 г.;104,56;10,456;1104,56;;
;02 Август 2013 г.;105,28;10,528;1105,28;;
;03 Август 2013 г.;106,00;10,600;1106,00;;
;04 Август 2013 г.;106,72;10,672;1106,72;;
;05 Август 2013 г.;107,44;10,744;1107,44;;
;06 Август 2013 г.;108,16;10,816;1108,16;;
